time frecuency % confidence 
1.88000 65.04323 91.38277 
1.89000 64.92431 87.83230 
1.90000 65.06665 87.41971 
1.91000 64.93755 89.25938 
1.92000 64.87990 87.81750 
1.93000 64.96150 88.32340 
1.94000 64.82761 87.08855 
1.95000 64.94236 86.02348 
1.96000 64.96051 86.20871 
1.97000 64.81625 87.85151 
1.98000 64.82203 86.05067 
1.99000 64.97284 87.07526 
2.00000 64.88219 88.85326 
2.01000 64.83987 87.40774 
2.02000 64.93180 88.92928 
2.03000 64.88435 87.93349 
2.04000 64.91291 89.99431 
2.05000 64.92620 91.43501 
2.06000 64.93897 90.06689 
2.07000 65.00715 90.76373 
2.08000 65.06213 91.19112 
2.09000 65.01392 92.01149 
2.10000 64.97474 92.10126 
2.11000 65.05048 93.54524 
2.12000 65.06380 92.32229 
2.13000 65.10627 91.72343 
2.14000 65.08915 93.60670 
2.15000 65.11116 93.10806 
2.16000 65.12274 93.75072 
2.17000 65.20340 93.32646 
2.18000 65.13579 93.00735 
2.19000 65.20556 94.13025 
2.20000 65.24450 94.99947 
2.21000 65.14994 93.00438 
2.22000 65.22840 94.01743 
2.23000 65.18728 93.93857 
2.24000 65.22216 93.01945 
2.25000 65.28942 94.89666 
2.26000 65.13168 94.05533 
2.27000 65.24899 92.67098 
2.28000 65.26949 94.37499 
2.29000 65.20297 94.28006 
2.30000 65.19840 93.73119 
2.31000 65.19955 93.53740 
2.32000 65.23915 94.36773 
2.33000 65.30261 94.92237 
2.34000 65.28801 94.89156 
2.35000 65.22733 94.06699 
2.36000 65.24463 93.65454 
2.37000 65.28491 95.29404 
2.38000 65.39328 95.90935 
2.39000 65.31096 94.83551 
2.40000 65.23250 94.33434 
2.41000 65.33781 95.05844 
2.42000 65.28775 94.72149 
2.43000 65.35877 95.81627 
2.44000 65.32215 94.54494 
2.45000 65.29563 94.70007 
2.46000 65.28948 96.04674 
2.47000 65.35343 95.36681 
2.48000 65.34302 95.59118 
2.49000 65.23768 94.84776 
2.50000 65.28049 94.36105 
2.51000 65.39473 96.11546 
2.52000 65.30677 95.50163 
2.53000 65.29288 93.73286 
2.54000 65.30991 94.70113 
2.55000 65.30601 95.72076 
2.56000 65.40616 95.42918 
2.57000 65.30747 94.73341 
2.58000 65.31121 95.02616 
2.59000 65.28245 94.42753 
2.60000 65.37559 96.07541 
2.61000 65.38806 95.35134 
2.62000 65.28391 94.09505 
2.63000 65.32648 95.30721 
2.64000 65.37894 95.33644 
2.65000 65.34835 95.12315 
2.66000 65.29227 94.65696 
2.67000 65.36471 94.71808 
2.68000 65.31529 94.63451 
2.69000 65.33996 95.74346 
2.70000 65.32966 95.15401 
2.71000 65.32619 95.11549 
2.72000 65.31845 95.53564 
2.73000 65.30583 94.65225 
2.74000 65.45818 95.76136 
2.75000 65.33267 95.20210 
2.76000 65.35140 94.46645 
2.77000 65.37308 95.17505 
2.78000 65.36899 95.46243 
2.79000 65.39338 93.97389 
2.80000 65.37108 94.32791 
2.81000 65.32435 94.82739 
2.82000 65.31994 94.05192 
2.83000 65.39918 95.45175 
2.84000 65.36932 94.60064 
2.85000 65.29972 94.21210 
2.86000 65.36462 95.44373 
2.87000 65.39338 94.55362 
2.88000 65.32965 93.77343 
2.89000 65.34626 95.19621 
2.90000 65.31453 94.38707 
2.91000 65.27336 94.16100 
2.92000 65.30061 94.86706 
2.93000 65.29800 94.99940 
2.94000 65.30176 96.01649 
2.95000 65.31996 95.67774 
2.96000 65.24617 95.44897 
2.97000 65.32150 95.96436 
2.98000 65.29062 96.10910 
2.99000 65.24037 95.52725 
3.00000 65.35272 95.84242 
3.01000 65.25465 95.89005 
3.02000 65.30923 95.76571 
3.03000 65.37294 96.84354 
3.04000 65.18805 95.23260 
3.05000 65.19978 94.41337 
3.06000 65.33099 96.29756 
3.07000 65.21539 96.02486 
3.08000 65.17771 94.99857 
3.09000 65.27611 95.59135 
3.10000 65.24544 94.78230 
3.11000 65.15065 93.58323 
3.12000 65.30585 93.53049 
3.13000 65.04542 85.20446 
3.14000 65.12172 73.04809 
3.15000 65.47702 49.50695 
3.16000 65.72467 15.68785 
3.17000 65.33221 43.29908 
3.18000 65.33680 52.14515 
3.19000 72.88021 18.58915 
3.20000 81.47754 30.70678 
3.21000 82.43917 19.31048 
3.22000 82.64296 22.05450 
3.23000 83.35343 19.05945 
3.24000 82.92987 12.63050 
3.25000 83.19675 10.47433 
3.26000 83.43699 8.05114 
3.27000 84.43329 5.36815 
3.28000 84.15305 7.03885 
3.29000 83.03557 8.75673 
The mean frecuency is: 65.22498931441685 Hz
